year,month,region,extent_mkm2,source,anomaly_mkm2
2000,10,total_NSR,8.38,NSIDC Sea Ice Index v4,0.03200000000000003
2001,10,total_NSR,8.3,NSIDC Sea Ice Index v4,-0.04800000000000004
2002,10,total_NSR,8.16,NSIDC Sea Ice Index v4,-0.1880000000000006
2003,10,total_NSR,7.85,NSIDC Sea Ice Index v4,-0.4980000000000011
2004,10,total_NSR,7.93,NSIDC Sea Ice Index v4,-0.41800000000000104
2005,10,total_NSR,7.35,NSIDC Sea Ice Index v4,-0.9980000000000011
2006,10,total_NSR,7.54,NSIDC Sea Ice Index v4,-0.8080000000000007
2007,10,total_NSR,6.04,NSIDC Sea Ice Index v4,-2.3080000000000007
2008,10,total_NSR,7.35,NSIDC Sea Ice Index v4,-0.9980000000000011
2009,10,total_NSR,6.92,NSIDC Sea Ice Index v4,-1.4280000000000008
2010,10,total_NSR,6.98,NSIDC Sea Ice Index v4,-1.3680000000000003
2011,10,total_NSR,6.46,NSIDC Sea Ice Index v4,-1.8880000000000008
2012,10,total_NSR,5.89,NSIDC Sea Ice Index v4,-2.458000000000001
2013,10,total_NSR,7.45,NSIDC Sea Ice Index v4,-0.8980000000000006
2014,10,total_NSR,7.23,NSIDC Sea Ice Index v4,-1.1180000000000003
2015,10,total_NSR,6.97,NSIDC Sea Ice Index v4,-1.378000000000001
2016,10,total_NSR,6.08,NSIDC Sea Ice Index v4,-2.2680000000000007
2017,10,total_NSR,6.77,NSIDC Sea Ice Index v4,-1.5780000000000012
2018,10,total_NSR,6.13,NSIDC Sea Ice Index v4,-2.218000000000001
2019,10,total_NSR,5.73,NSIDC Sea Ice Index v4,-2.6180000000000003
2020,10,total_NSR,5.33,NSIDC Sea Ice Index v4,-3.0180000000000007
2021,10,total_NSR,6.82,NSIDC Sea Ice Index v4,-1.5280000000000005
2022,10,total_NSR,6.66,NSIDC Sea Ice Index v4,-1.6880000000000006
2023,10,total_NSR,6.41,NSIDC Sea Ice Index v4,-1.9380000000000006
2024,10,total_NSR,5.93,NSIDC Sea Ice Index v4,-2.418000000000001
2025,10,total_NSR,6.32,NSIDC Sea Ice Index v4,-2.0280000000000005
1978,11,total_NSR,11.65,NSIDC Sea Ice Index v4,0.9496666666666673
1979,11,total_NSR,10.94,NSIDC Sea Ice Index v4,0.23966666666666647
1980,11,total_NSR,11.38,NSIDC Sea Ice Index v4,0.6796666666666678
1981,11,total_NSR,10.93,NSIDC Sea Ice Index v4,0.22966666666666669
1982,11,total_NSR,11.63,NSIDC Sea Ice Index v4,0.9296666666666678
1983,11,total_NSR,11.46,NSIDC Sea Ice Index v4,0.7596666666666678
1984,11,total_NSR,10.84,NSIDC Sea Ice Index v4,0.13966666666666683
1985,11,total_NSR,11.02,NSIDC Sea Ice Index v4,0.31966666666666654
1986,11,total_NSR,11.45,NSIDC Sea Ice Index v4,0.7496666666666663
1987,11,total_NSR,11.22,NSIDC Sea Ice Index v4,0.5196666666666676
1988,11,total_NSR,11.33,NSIDC Sea Ice Index v4,0.629666666666667
1989,11,total_NSR,11.12,NSIDC Sea Ice Index v4,0.4196666666666662
1990,11,total_NSR,11.08,NSIDC Sea Ice Index v4,0.37966666666666704
1991,11,total_NSR,10.88,NSIDC Sea Ice Index v4,0.17966666666666775
1992,11,total_NSR,11.38,NSIDC Sea Ice Index v4,0.6796666666666678
1993,11,total_NSR,11.32,NSIDC Sea Ice Index v4,0.6196666666666673
1994,11,total_NSR,11.12,NSIDC Sea Ice Index v4,0.4196666666666662
1995,11,total_NSR,10.76,NSIDC Sea Ice Index v4,0.05966666666666676
1996,11,total_NSR,10.4,NSIDC Sea Ice Index v4,-0.3003333333333327
1997,11,total_NSR,10.68,NSIDC Sea Ice Index v4,-0.020333333333333314
1998,11,total_NSR,10.44,NSIDC Sea Ice Index v4,-0.2603333333333335
1999,11,total_NSR,10.8,NSIDC Sea Ice Index v4,0.09966666666666768
2000,11,total_NSR,10.32,NSIDC Sea Ice Index v4,-0.38033333333333275
2001,11,total_NSR,10.66,NSIDC Sea Ice Index v4,-0.04033333333333289
2002,11,total_NSR,10.34,NSIDC Sea Ice Index v4,-0.3603333333333332
2003,11,total_NSR,10.13,NSIDC Sea Ice Index v4,-0.5703333333333322
2004,11,total_NSR,10.34,NSIDC Sea Ice Index v4,-0.3603333333333332
2005,11,total_NSR,10.22,NSIDC Sea Ice Index v4,-0.4803333333333324
2006,11,total_NSR,9.66,NSIDC Sea Ice Index v4,-1.0403333333333329
2007,11,total_NSR,9.76,NSIDC Sea Ice Index v4,-0.9403333333333332
2008,11,total_NSR,10.34,NSIDC Sea Ice Index v4,-0.3603333333333332
2009,11,total_NSR,9.77,NSIDC Sea Ice Index v4,-0.9303333333333335
2010,11,total_NSR,9.61,NSIDC Sea Ice Index v4,-1.0903333333333336
2011,11,total_NSR,9.77,NSIDC Sea Ice Index v4,-0.9303333333333335
2012,11,total_NSR,9.39,NSIDC Sea Ice Index v4,-1.3103333333333325
2013,11,total_NSR,9.94,NSIDC Sea Ice Index v4,-0.7603333333333335
2014,11,total_NSR,10.11,NSIDC Sea Ice Index v4,-0.5903333333333336
2015,11,total_NSR,9.85,NSIDC Sea Ice Index v4,-0.8503333333333334
2016,11,total_NSR,8.66,NSIDC Sea Ice Index v4,-2.040333333333333
2017,11,total_NSR,9.49,NSIDC Sea Ice Index v4,-1.2103333333333328
2018,11,total_NSR,9.82,NSIDC Sea Ice Index v4,-0.8803333333333327
2019,11,total_NSR,9.35,NSIDC Sea Ice Index v4,-1.3503333333333334
2020,11,total_NSR,8.99,NSIDC Sea Ice Index v4,-1.7103333333333328
2021,11,total_NSR,9.83,NSIDC Sea Ice Index v4,-0.870333333333333
2022,11,total_NSR,9.73,NSIDC Sea Ice Index v4,-0.9703333333333326
2023,11,total_NSR,9.68,NSIDC Sea Ice Index v4,-1.0203333333333333
2024,11,total_NSR,9.15,NSIDC Sea Ice Index v4,-1.5503333333333327
2025,11,total_NSR,8.77,NSIDC Sea Ice Index v4,-1.9303333333333335
1978,12,total_NSR,13.67,NSIDC Sea Ice Index v4,0.8300000000000001
1979,12,total_NSR,13.34,NSIDC Sea Ice Index v4,0.5
1980,12,total_NSR,13.59,NSIDC Sea Ice Index v4,0.75
1981,12,total_NSR,13.34,NSIDC Sea Ice Index v4,0.5
1982,12,total_NSR,13.64,NSIDC Sea Ice Index v4,0.8000000000000007
1983,12,total_NSR,13.3,NSIDC Sea Ice Index v4,0.46000000000000085
1984,12,total_NSR,12.99,NSIDC Sea Ice Index v4,0.15000000000000036
1985,12,total_NSR,13.05,NSIDC Sea Ice Index v4,0.21000000000000085
1986,12,total_NSR,13.22,NSIDC Sea Ice Index v4,0.3800000000000008
1988,12,total_NSR,13.63,NSIDC Sea Ice Index v4,0.7900000000000009
1989,12,total_NSR,13.39,NSIDC Sea Ice Index v4,0.5500000000000007
1990,12,total_NSR,13.11,NSIDC Sea Ice Index v4,0.2699999999999996
1991,12,total_NSR,12.95,NSIDC Sea Ice Index v4,0.10999999999999943
1992,12,total_NSR,13.41,NSIDC Sea Ice Index v4,0.5700000000000003
1993,12,total_NSR,13.32,NSIDC Sea Ice Index v4,0.4800000000000004
1994,12,total_NSR,13.27,NSIDC Sea Ice Index v4,0.4299999999999997
1995,12,total_NSR,12.92,NSIDC Sea Ice Index v4,0.08000000000000007
1996,12,total_NSR,12.86,NSIDC Sea Ice Index v4,0.019999999999999574
1997,12,total_NSR,13.08,NSIDC Sea Ice Index v4,0.2400000000000002
1998,12,total_NSR,12.76,NSIDC Sea Ice Index v4,-0.08000000000000007
1999,12,total_NSR,12.64,NSIDC Sea Ice Index v4,-0.1999999999999993
2000,12,total_NSR,12.64,NSIDC Sea Ice Index v4,-0.1999999999999993
2001,12,total_NSR,12.49,NSIDC Sea Ice Index v4,-0.34999999999999964
2002,12,total_NSR,12.61,NSIDC Sea Ice Index v4,-0.23000000000000043
2003,12,total_NSR,12.59,NSIDC Sea Ice Index v4,-0.25
2004,12,total_NSR,12.55,NSIDC Sea Ice Index v4,-0.28999999999999915
2005,12,total_NSR,12.23,NSIDC Sea Ice Index v4,-0.6099999999999994
2006,12,total_NSR,11.95,NSIDC Sea Ice Index v4,-0.8900000000000006
2007,12,total_NSR,12.03,NSIDC Sea Ice Index v4,-0.8100000000000005
2008,12,total_NSR,12.36,NSIDC Sea Ice Index v4,-0.4800000000000004
2009,12,total_NSR,12.2,NSIDC Sea Ice Index v4,-0.6400000000000006
2010,12,total_NSR,11.83,NSIDC Sea Ice Index v4,-1.0099999999999998
2011,12,total_NSR,12.15,NSIDC Sea Ice Index v4,-0.6899999999999995
2012,12,total_NSR,12.01,NSIDC Sea Ice Index v4,-0.8300000000000001
2013,12,total_NSR,12.18,NSIDC Sea Ice Index v4,-0.6600000000000001
2014,12,total_NSR,12.35,NSIDC Sea Ice Index v4,-0.4900000000000002
2015,12,total_NSR,12.04,NSIDC Sea Ice Index v4,-0.8000000000000007
2016,12,total_NSR,11.46,NSIDC Sea Ice Index v4,-1.379999999999999
2017,12,total_NSR,11.74,NSIDC Sea Ice Index v4,-1.0999999999999996
2018,12,total_NSR,11.86,NSIDC Sea Ice Index v4,-0.9800000000000004
2019,12,total_NSR,11.9,NSIDC Sea Ice Index v4,-0.9399999999999995
2020,12,total_NSR,11.73,NSIDC Sea Ice Index v4,-1.1099999999999994
2021,12,total_NSR,12.15,NSIDC Sea Ice Index v4,-0.6899999999999995
2022,12,total_NSR,11.89,NSIDC Sea Ice Index v4,-0.9499999999999993
2023,12,total_NSR,11.98,NSIDC Sea Ice Index v4,-0.8599999999999994
2024,12,total_NSR,11.41,NSIDC Sea Ice Index v4,-1.4299999999999997
2025,12,total_NSR,11.22,NSIDC Sea Ice Index v4,-1.6199999999999992
